,feature,accuracy,std_accuracy,precision_w,std_precision_w,recall_w,std_recall_w,f1_w,std_f1_w,matthews,std_matthews
141,"['mutinf', 'diferencias', 'distancias', 'mearts']",0.76,0.03554807033029964,0.77,0.035489354273589166,0.76,0.03554807033029964,0.76,0.03459368985456038,0.57,0.05918786988666855
142,"['max_info', 'diferencias', 'distancias', 'mearts']",0.76,0.03814113854877007,0.77,0.0384275690315816,0.76,0.03814113854877007,0.76,0.03745360975936953,0.57,0.06308581385281439
143,"['list_m', 'entropias', 'distancias', 'mearts']",0.77,0.037504001178712054,0.78,0.03692401395159357,0.77,0.037504001178712054,0.76,0.036777774239958524,0.58,0.06626021379313615
144,"['mutinf', 'entropias', 'distancias', 'mearts']",0.76,0.035853686471833755,0.77,0.035464906608695515,0.76,0.035853686471833755,0.76,0.03493027740710673,0.57,0.061192813960610326
145,"['max_info', 'entropias', 'distancias', 'mearts']",0.76,0.03779109945611823,0.77,0.03824251377465415,0.76,0.03779109945611823,0.76,0.036941738142683096,0.57,0.06216615340459957
146,"['diferencias', 'entropias', 'distancias', 'mearts']",0.76,0.03942594278536081,0.77,0.039679113421181376,0.76,0.03942594278536081,0.76,0.038697897334743346,0.58,0.06600907807744083
147,"['list_m', 'mutinf', 'sumas', 'mearts']",0.76,0.03735288616110369,0.77,0.03697640193910924,0.76,0.03735288616110369,0.76,0.036066021208563524,0.57,0.06149257397061066
148,"['list_m', 'max_info', 'sumas', 'mearts']",0.76,0.03826292258970903,0.77,0.038086534801108275,0.76,0.03826292258970903,0.76,0.037107565237852386,0.58,0.06314472858800738
149,"['mutinf', 'max_info', 'sumas', 'mearts']",0.76,0.035623065683631376,0.77,0.03565412867735563,0.76,0.035623065683631376,0.76,0.03443258100091833,0.57,0.05930860225196555
150,"['list_m', 'diferencias', 'sumas', 'mearts']",0.76,0.0394473616979759,0.77,0.03932746973599356,0.76,0.0394473616979759,0.76,0.038403567388915094,0.57,0.06527753242067742
151,"['mutinf', 'diferencias', 'sumas', 'mearts']",0.76,0.037686634744115106,0.77,0.037976445368804713,0.76,0.037686634744115106,0.76,0.03656791908693298,0.57,0.06128834977304293
152,"['max_info', 'diferencias', 'sumas', 'mearts']",0.76,0.0398158147443555,0.77,0.0397212086073059,0.76,0.0398158147443555,0.76,0.03890416391175592,0.57,0.06521480102256788
153,"['list_m', 'entropias', 'sumas', 'mearts']",0.77,0.03935704748678752,0.78,0.03901036712319134,0.77,0.03935704748678752,0.76,0.03848648299864151,0.58,0.06536018897384525
154,"['mutinf', 'entropias', 'sumas', 'mearts']",0.76,0.037394356114864406,0.77,0.03667509888840401,0.76,0.037394356114864406,0.76,0.03625442649384932,0.57,0.06309752817790062
155,"['max_info', 'entropias', 'sumas', 'mearts']",0.76,0.039617131082442254,0.77,0.039999440571434085,0.76,0.039617131082442254,0.76,0.038792459810660714,0.57,0.06417478372237861
156,"['diferencias', 'entropias', 'sumas', 'mearts']",0.76,0.03874626698424022,0.77,0.03889608321728599,0.76,0.03874626698424022,0.76,0.0377526991473849,0.58,0.0629453784902376
157,"['list_m', 'distancias', 'sumas', 'mearts']",0.77,0.03790819368697871,0.78,0.03708872604519604,0.77,0.03790819368697871,0.76,0.03683339883024548,0.58,0.06474381478757023
158,"['mutinf', 'distancias', 'sumas', 'mearts']",0.76,0.03748442596160335,0.77,0.03710880388380926,0.76,0.03748442596160335,0.76,0.03623664954604213,0.57,0.061423067931527756
159,"['max_info', 'distancias', 'sumas', 'mearts']",0.76,0.03831346879402989,0.77,0.0381640868072121,0.76,0.03831346879402989,0.76,0.037173177137251844,0.57,0.06346021498235825
160,"['diferencias', 'distancias', 'sumas', 'mearts']",0.76,0.039502918137478624,0.77,0.03935798098523095,0.76,0.039502918137478624,0.76,0.03845687194159284,0.57,0.06547983170776683
161,"['entropias', 'distancias', 'sumas', 'mearts']",0.77,0.03935704748678752,0.78,0.03901036712319134,0.77,0.03935704748678752,0.76,0.03848648299864151,0.58,0.06536018897384525
162,"['list_m', 'mutinf', 'max_info', 'diferencias', 'entropias']",0.76,0.03553855702068511,0.77,0.03636842652575031,0.76,0.03553855702068511,0.76,0.03451092083503372,0.57,0.05689489508534354
163,"['list_m', 'mutinf', 'max_info', 'diferencias', 'distancias']",0.76,0.03410539315027917,0.77,0.034874613087162415,0.76,0.03410539315027917,0.76,0.03303041807481456,0.57,0.056394033246538355
164,"['list_m', 'mutinf', 'max_info', 'entropias', 'distancias']",0.76,0.03536932317271377,0.77,0.0349477312255308,0.76,0.03536932317271377,0.76,0.034176154651429466,0.57,0.06086094174308827
165,"['list_m', 'mutinf', 'diferencias', 'entropias', 'distancias']",0.76,0.0334908419574269,0.77,0.03303698558243708,0.76,0.0334908419574269,0.75,0.03249402830859589,0.56,0.05621842707614343
166,"['list_m', 'max_info', 'diferencias', 'entropias', 'distancias']",0.76,0.0377943587133996,0.77,0.03777175461065678,0.76,0.0377943587133996,0.76,0.03714541678352021,0.57,0.061113547903254704
167,"['mutinf', 'max_info', 'diferencias', 'entropias', 'distancias']",0.76,0.035527246167877384,0.77,0.03658535675524607,0.76,0.035527246167877384,0.76,0.034394737178963894,0.56,0.056394659265876834
168,"['list_m', 'mutinf', 'max_info', 'diferencias', 'sumas']",0.76,0.03655652581167437,0.77,0.03692844602846443,0.76,0.03655652581167437,0.76,0.03547185899535527,0.57,0.05939877488878029
169,"['list_m', 'mutinf', 'max_info', 'entropias', 'sumas']",0.76,0.035780470184899736,0.77,0.03621701419111726,0.76,0.035780470184899736,0.76,0.03482533570960303,0.56,0.05912150082605632
